Week,Predictive maintenance
2013-06-09,39
2013-06-16,20
2013-06-23,10
2013-06-30,10
2013-07-07,29
2013-07-14,19
2013-07-21,19
2013-07-28,38
2013-08-04,39
2013-08-11,19
2013-08-18,10
2013-08-25,28
2013-09-01,9
2013-09-08,0
2013-09-15,18
2013-09-22,19
2013-09-29,28
2013-10-06,28
2013-10-13,38
2013-10-20,38
2013-10-27,36
2013-11-03,28
2013-11-10,28
2013-11-17,9
2013-11-24,10
2013-12-01,17
2013-12-08,27
2013-12-15,66
2013-12-22,21
2013-12-29,29
2014-01-05,44
2014-01-12,35
2014-01-19,26
2014-01-26,17
2014-02-02,46
2014-02-09,26
2014-02-16,0
2014-02-23,17
2014-03-02,34
2014-03-09,36
2014-03-16,26
2014-03-23,9
2014-03-30,35
2014-04-06,27
2014-04-13,18
2014-04-20,36
2014-04-27,18
2014-05-04,18
2014-05-11,9
2014-05-18,40
2014-05-25,32
2014-06-01,42
2014-06-08,31
2014-06-15,11
2014-06-22,64
2014-06-29,34
2014-07-06,53
2014-07-13,21
2014-07-20,32
2014-07-27,62
2014-08-03,44
2014-08-10,21
2014-08-17,31
2014-08-24,20
2014-08-31,30
2014-09-07,19
2014-09-14,29
2014-09-21,59
2014-09-28,19
2014-10-05,20
2014-10-12,68
2014-10-19,10
2014-10-26,39
2014-11-02,29
2014-11-09,76
2014-11-16,10
2014-11-23,21
2014-11-30,19
2014-12-07,9
2014-12-14,10
2014-12-21,12
2014-12-28,21
2015-01-04,29
2015-01-11,29
2015-01-18,29
2015-01-25,19
2015-02-01,37
2015-02-08,27
2015-02-15,19
2015-02-22,27
2015-03-01,46
2015-03-08,28
2015-03-15,29
2015-03-22,31
2015-03-29,79
2015-04-05,39
2015-04-12,58
2015-04-19,48
2015-04-26,58
2015-05-03,20
2015-05-10,40
2015-05-17,0
2015-05-24,0
2015-05-31,31
2015-06-07,31
2015-06-14,10
2015-06-21,32
2015-06-28,22
2015-07-05,32
2015-07-12,62
2015-07-19,10
2015-07-26,31
2015-08-02,10
2015-08-09,61
2015-08-16,71
2015-08-23,40
2015-08-30,69
2015-09-06,60
2015-09-13,29
2015-09-20,38
2015-09-27,38
2015-10-04,38
2015-10-11,38
2015-10-18,9
2015-10-25,46
2015-11-01,18
2015-11-08,19
2015-11-15,46
2015-11-22,20
2015-11-29,27
2015-12-06,36
2015-12-13,28
2015-12-20,11
2015-12-27,20
2016-01-03,32
2016-01-10,30
2016-01-17,31
2016-01-24,31
2016-01-31,15
2016-02-07,31
2016-02-14,30
2016-02-21,30
2016-02-28,44
2016-03-06,75
2016-03-13,31
2016-03-20,24
2016-03-27,54
2016-04-03,68
2016-04-10,23
2016-04-17,15
2016-04-24,30
2016-05-01,30
2016-05-08,23
2016-05-15,54
2016-05-22,24
2016-05-29,24
2016-06-05,24
2016-06-12,24
2016-06-19,16
2016-06-26,41
2016-07-03,43
2016-07-10,17
2016-07-17,33
2016-07-24,16
2016-07-31,25
2016-08-07,9
2016-08-14,43
2016-08-21,17
2016-08-28,16
2016-09-04,24
2016-09-11,16
2016-09-18,38
2016-09-25,38
2016-10-02,0
2016-10-09,15
2016-10-16,31
2016-10-23,15
2016-10-30,30
2016-11-06,21
2016-11-13,45
2016-11-20,23
2016-11-27,42
2016-12-04,28
2016-12-11,21
2016-12-18,8
2016-12-25,8
2017-01-01,22
2017-01-08,21
2017-01-15,35
2017-01-22,21
2017-01-29,41
2017-02-05,34
2017-02-12,14
2017-02-19,35
2017-02-26,66
2017-03-05,27
2017-03-12,54
2017-03-19,28
2017-03-26,34
2017-04-02,35
2017-04-09,29
2017-04-16,21
2017-04-23,35
2017-04-30,35
2017-05-07,35
2017-05-14,37
2017-05-21,54
2017-05-28,23
2017-06-04,30
2017-06-11,53
2017-06-18,22
2017-06-25,31
2017-07-02,40
2017-07-09,39
2017-07-16,46
2017-07-23,54
2017-07-30,51
2017-08-06,22
2017-08-13,22
2017-08-20,14
2017-08-27,57
2017-09-03,84
2017-09-10,56
2017-09-17,21
2017-09-24,42
2017-10-01,41
2017-10-08,48
2017-10-15,28
2017-10-22,70
2017-10-29,41
2017-11-05,95
2017-11-12,54
2017-11-19,29
2017-11-26,60
2017-12-03,41
2017-12-10,82
2017-12-17,29
2017-12-24,40
2017-12-31,57
2018-01-07,41
2018-01-14,34
2018-01-21,60
2018-01-28,40
2018-02-04,27
2018-02-11,100
2018-02-18,54
2018-02-25,59
2018-03-04,54
2018-03-11,47
2018-03-18,47
2018-03-25,49
2018-04-01,41
2018-04-08,48
2018-04-15,75
2018-04-22,40
2018-04-29,55
2018-05-06,61
2018-05-13,55
2018-05-20,21
2018-05-27,43
2018-06-03,16
